ANET,05/05/2020
COHR,27/05/2020
LLY,23/04/2020
ICUI,07/05/2020
MSCI,28/04/2020
CAH,11/05/2020
DGX,22/04/2020
INTC,23/04/2020
AVTR,29/04/2020
FIVN,04/05/2020
JNJ,14/04/2020
ALL,05/05/2020
ACHC,04/05/2020
CHNG,03/06/2020
LSXMK,07/05/2020
WLK,04/05/2020
UI,08/05/2020
ALLE,23/04/2020
ALNY,06/05/2020
MUR,06/05/2020
MSA,29/04/2020
STWD,04/05/2020
VMC,06/05/2020
SABR,08/05/2020
