AON,01/05/2020
APD,23/04/2020
MOH,30/04/2020
ADP,29/04/2020
AMD,28/04/2020
ARD,23/04/2020
ASH,05/05/2020
AXTA,05/05/2020
CDW,06/05/2020
CXO,30/04/2020
EHC,28/04/2020
ES,06/05/2020
FISV,07/05/2020
FLIR,06/05/2020
GL,22/04/2020
H,06/05/2020
KKR,06/05/2020
KMI,22/04/2020
LECO,27/04/2020
NATI,30/04/2020
NFG,30/04/2020
NLY,29/04/2020
ODFL,23/04/2020
PAG,06/05/2020
